name,variant,nodes,edges,controversial,single_hashtag,density,clustering_coefficient,modularity,assortativity,mean_degree,embedding_dimension
työelämä,p1,2942,3942,0,1,0.00045559497675910863,0.027389544518382176,0.7583999576816657,0.799872251779241,2.679809653297077,272
työelämä,p2,2374,3016,0,1,0.0005353685860056498,0.018776844935172312,0.7691015952057638,0.8063693304304117,2.5408593091828138,217
työelämä,p3,2931,3903,0,1,0.00045448035184674125,0.028338957178825303,0.7510238187657142,0.786859711402659,2.663254861821904,242
mielenterveys,p1,1185,1602,0,1,0.0011418063633253507,0.036897425368072584,0.7445378825781132,0.8109807520008353,2.7037974683544306,128
mielenterveys,p2,953,1206,0,1,0.0013292830248573721,0.04828079022855093,0.7356569831879849,0.8049359942704792,2.5309548793284367,76
mielenterveys,p3,1657,2491,0,1,0.0009078014804707886,0.060803762844797986,0.6569601589407132,0.7064521501303815,3.0066385033192518,93
lapset,p1,1614,1869,0,1,0.0007179123155956368,0.026963052414929273,0.7935159587548355,0.8445402295348489,2.315985130111524,200
lapset,p2,1549,1764,0,1,0.0007356584142807813,0.01923220783412841,0.7799129477943861,0.8648450240047438,2.277598450613299,95
lapset,p3,1240,1489,0,1,0.0009691738915358379,0.021596371791351245,0.7725793946293413,0.8173899764980971,2.4016129032258067,97
CENTRE,p1,1600,2887,1,0,0.0011284396497811132,0.04714102356926403,0.6689746290509071,0.8220769139471122,3.60875,100
CENTRE,p2,1488,2206,1,0,0.0009969918505181104,0.023223263648030023,0.7197427439711527,0.7971635525100561,2.96505376344086,93
CENTRE,p3,1030,1727,1,0,0.0016294451206280015,0.05679469769093878,0.6518471404636803,0.7422102687246362,3.353398058252427,81
työllisyys,p1,1383,1761,1,1,0.000921359531126884,0.027809598258829452,0.8115539509745024,0.8692330646949479,2.546637744034707,142
työllisyys,p2,974,1115,1,1,0.0011765301750972352,0.022615913808196508,0.8373858312051319,0.8786093945956348,2.2895277207392195,135
työllisyys,p3,1208,1573,1,1,0.0010788337347811057,0.028091511624204597,0.7739868061199622,0.8257014114675649,2.6043046357615895,137
sak,p1,1360,1871,0,1,0.001012314418040947,0.020486660526622166,0.6986409060512061,0.7670402618427978,2.751470588235294,34
sak,p2,1350,1594,0,1,0.0008752711198967686,0.014898484362854389,0.8047193915703336,0.8897152698787609,2.3614814814814813,30
sak,p3,1066,1156,0,1,0.0010182420350747386,0.007593232446043957,0.7734731384921157,0.889567067377205,2.168855534709193,6
