name,decreasing_or_stable,variants,controversial,nodes,edges,density,modularity,embedding_dimension,assortativity,clustering_coefficient,mean_degree,embedding_dimension_slope,controversial_numbers
SOCIALSECURITY,False,p1;p2;p3,False,7629;3816;3597,17398;6169;5781,0.0002989654674436;0.0004237520984967;0.0004469334382285,0.6348268939506916;0.7181507020563419;0.7318976524239511,534;363;398,0.7176220163986388;0.7665795839918109;0.782942593834072,0.0436034060154573;0.0318727079575925;0.036503624989158,4.561017171319963;3.2332285115303985;3.214345287739784,-67.99999999999994,2
digitalisaatio,False,p1;p2;p3,False,1687;1279;1445,1807;1269;1515,0.000635309719641;0.000776354766598;0.0007260684948576,0.864978137961301;0.9294195525102756;0.8736751298892265,259;213;231,0.8998281820333781;0.9601117980706686;0.9124510962894606,0.0251886566129193;0.0251614504632791;0.0206751528832426,2.14226437462952;1.9843627834245503;2.096885813148789,-13.999999999999956,2
eduskunta,True,p2;p3,True,1397;914,1727;1129,0.0008855447510321;0.0013529351142385,0.7771143214366063;0.7693021015329022,97;58,0.8392822289936467;0.8493949499761791,0.0077032304653645;0.018255288866812,2.47244094488189;2.4704595185995624,-39.0,1
eduskuntavaalit2019,True,p1;p2,True,6700;1212,11780;1186,0.0002624584199468;0.0008080494259169,0.7342058494585223;0.8831007624079693,315;95,0.8293211810074985;0.9331763723071468,0.0299330767777543;0.0069809864048761,3.5164179104477613;1.957095709570957,-219.99999999999994,1
euvaalit2019,True,p2;p3,True,6606;1392,14006;1519,0.0003209982987502;0.0007844972193989,0.6901176040728674;0.8197724586659825,316;107,0.765559171727713;0.8893042451277791,0.0640350851019696;0.0057791206059982,4.240387526491069;2.182471264367816,-208.99999999999997,1
hallitus,False,p1;p2;p3,True,2036;1283;3016,2541;1429;4579,0.0006132851908883;0.0008687954688881;0.0005035608869885,0.7673601963609477;0.8460589185035952;0.7199175132293276,92;115;159,0.8175995287078163;0.9069780138727684;0.7703003918025259,0.0076286227977544;0.0059342279997924;0.0241431606364101,2.4960707269155207;2.2275915822291505;3.036472148541114,33.500000000000014,1
hallitusohjelma,False,p2;p3,True,2595;6503,3458;11617,0.0005137095683977;0.0002747471968667,0.8206460672747848;0.7107602982212793,245;625,0.8761884863501417;0.7699531465728081,0.038957616917469;0.0372766985681385,2.665125240847784;3.572812548054744,379.99999999999994,1
hyvinvointi,True,p1;p2;p3,False,1800;1458;1555,1822;1446;1594,0.0005626582669384;0.0006806928945264;0.0006596398879357,0.9056587916199252;0.898401466151677;0.8828015660987171,250;221;221,0.9369715804600118;0.9265381618016988;0.9124619037003652,0.023019382918365;0.0079767821688319;0.010288797360704,2.0244444444444443;1.9835390946502056;2.05016077170418,-14.500000000000018,2
ihmisoikeudet,False,p1;p2;p3,False,1291;1023;987,1812;1379;1206,0.0010880334336101;0.0013189785615768;0.0012392337712781,0.7199659858973048;0.7176144182839979;0.7651618909322927,90;92;95,0.7879894983446158;0.7813026013552968;0.8211402029831365,0.0417497541113435;0.0279185732770568;0.0253351639148226,2.807126258714175;2.6959921798631474;2.443768996960486,2.500000000000021,2
ilmasto,False,p1;p2;p3,False,3311;2246;2084,4993;3367;2860,0.0004555902188165;0.000667754800913;0.0006588386195534,0.7322592506737552;0.6857683932231007;0.7295656266810113,245;122;153,0.7833805271743577;0.7450775918935607;0.7703574851787426,0.0266234999605355;0.0384344184327195;0.0245804789952973,3.016007248565388;2.998219056099733;2.7447216890595008,-45.99999999999999,2
ilmastonmuutos,False,p1;p2;p3,True,7834;4747;4432,16769;8267;7093,0.000273272211226;0.0003669449980207;0.0003611839623525,0.5887640761744121;0.6345866673171084;0.6843627678108466,330;370;265,0.6455469210123397;0.6816581004399449;0.7291648092032654,0.0464590689935106;0.0482802545517421;0.0284449124056217,4.281082461067143;3.483041921213398;3.2008122743682312,-32.499999999999964,1
journalismi,False,p1;p2;p3,False,1285;1003;1130,1627;1215;1437,0.0009860964641138;0.0012089480062805;0.0011263785792109,0.7570454632169418;0.7927016545580788;0.7636962104515854,40;52;36,0.8467051543464684;0.8575412976346288;0.8311158074478513,0.0183309527167913;0.0165290669287853;0.0189289762394819,2.532295719844358;2.4227318045862414;2.543362831858407,-1.9999999999999971,2
keskusta,True,p1;p2;p3,True,1600;1488;1030,2887;2206;1727,0.0011284396497811;0.0009969918505181;0.001629445120628,0.6646936465785674;0.7186026899357147;0.6501864692681949,100;93;81,0.8148596811201977;0.7997212780048369;0.7707417037556966,0.047141023569264;0.02322326364803;0.0567946976909387,3.60875;2.96505376344086;3.353398058252427,-9.499999999999993,1
kokoomus,True,p1;p2;p3,True,2693;1465;877,6883;2787;1393,0.0009494374552041;0.0012994460918704;0.0018132071247455,0.5807970412841911;0.6067644011762541;0.6422987669348692,165;71;55,0.7746397448533301;0.7358632885493589;0.7222944701368847,0.0865341623208648;0.0782247991016701;0.0473400800859951,5.111771258819161;3.804778156996587;3.176738882554162,-54.99999999999999,1
koulutus,True,p1;p2;p3,False,3204;2042;1990,4288;2388;2342,0.0004178354952032;0.0005729748769231;0.0005916965420364,0.7768196824877478;0.8238561596368218;0.8144343335708311,342;300;274,0.8152228382526346;0.8627414829070502;0.8513661731238763,0.0284387085108139;0.0253047486985349;0.0190759342647283,2.67665418227216;2.338883447600392;2.353768844221105,-33.99999999999998,2
lapset,False,p1;p2;p3,False,1614;1549;1240,1869;1764;1489,0.0007179123155956;0.0007356584142807;0.0009691738915358,0.7935159587548355;0.7799129477943861;0.7725793946293413,200;95;97,0.8445402295348489;0.8648450240047438;0.8173899764980971,0.0269630524149292;0.0192322078341284;0.0215963717913512,2.315985130111524;2.277598450613299;2.4016129032258067,-51.499999999999986,2
liikenne,True,p1;p2;p3,False,1438;994;1182,1725;1054;1375,0.0008347827096901;0.001067837032264;0.0009849979440406,0.8110023944549465;0.8581305877312055;0.8099908760330579,137;129;91,0.8619822055629314;0.9058559256243186;0.8682505142411343,0.0189811857048315;0.0145693522098296;0.0236467260452928,2.399165507649513;2.1207243460764587;2.326565143824027,-22.99999999999998,2
luonto,False,p1;p2;p3,False,1733;1993;1880,2439;2684;2542,0.0008125785425959;0.0006760609925905;0.000719599605947,0.712621418957117;0.7397307775169298;0.7124786668160583,101;99;135,0.7759012249147259;0.8007612538900436;0.7856945257684931,0.0073189415786598;0.0157342605199179;0.0092013521883235,2.814772071552221;2.6934269944806823;2.704255319148936,17.000000000000004,2
